Week Of,Mon,Tue,Wed,Thu,Fri
1997 Aug 4 to Aug 8,2.26,2.33,2.38,2.50,2.38
1997 Aug 11 to Aug 15,2.53,2.56,2.45,2.57,2.53
1997 Aug 18 to Aug 22,2.56,2.61,2.62,2.45,2.47
1997 Aug 25 to Aug 29,2.53,2.58,2.51,2.57,2.69
1997 Sep 1 to Sep 5,,2.82,2.86,2.73,2.67
,,,,,
1997 Sep 8 to Sep 12,2.67,2.74,2.74,2.78,2.86
1997 Sep 15 to Sep 19,2.88,2.83,2.75,2.84,2.94
1997 Sep 22 to Sep 26,2.98,3.09,3.03,3.05,3.24
1997 Sep 29 to Oct 3,3.09,2.96,3.08,2.97,2.91
1997 Oct 6 to Oct 10,2.96,2.81,2.80,2.80,2.78
,,,,,
1997 Oct 13 to Oct 17,2.87,2.84,2.84,2.94,2.97
1997 Oct 20 to Oct 24,3.05,3.13,3.24,3.34,3.29
1997 Oct 27 to Oct 31,3.46,3.61,3.45,3.34,3.22
1997 Nov 3 to Nov 7,3.23,3.15,3.18,3.20,3.05
1997 Nov 10 to Nov 14,3.20,3.26,3.28,3.27,3.25
,,,,,
1997 Nov 17 to Nov 21,3.10,3.00,2.97,2.77,2.59
1997 Nov 24 to Nov 28,2.63,2.51,2.50,,
1997 Dec 1 to Dec 5,2.52,2.61,2.53,2.48,2.42
1997 Dec 8 to Dec 12,2.30,2.35,2.45,2.30,2.30
1997 Dec 15 to Dec 19,2.25,2.29,2.38,2.37,2.39
,,,,,
1997 Dec 22 to Dec 26,2.36,2.24,2.06,,2.18
1997 Dec 29 to Jan 2,2.33,2.27,2.27,,2.16
1998 Jan 5 to Jan 9,2.05,2.16,2.13,2.11,2.09
1998 Jan 12 to Jan 16,2.01,2.03,2.05,2.07,2.11
1998 Jan 19 to Jan 23,,2.12,2.09,2.10,2.14
,,,,,
1998 Jan 26 to Jan 30,2.09,2.06,2.09,2.07,2.09
1998 Feb 2 to Feb 6,2.23,2.27,2.23,2.31,2.35
1998 Feb 9 to Feb 13,2.25,2.18,2.21,2.20,2.22
1998 Feb 16 to Feb 20,,2.18,2.19,2.22,2.20
1998 Feb 23 to Feb 27,2.20,2.19,2.21,2.28,2.23
,,,,,
1998 Mar 2 to Mar 6,2.26,2.24,2.19,2.12,2.10
1998 Mar 9 to Mar 13,2.17,2.25,2.25,2.23,2.21
1998 Mar 16 to Mar 20,2.20,2.20,2.21,2.25,2.28
1998 Mar 23 to Mar 27,2.33,2.29,2.33,2.29,2.26
1998 Mar 30 to Apr 3,2.32,2.34,2.45,2.43,2.51
,,,,,
1998 Apr 6 to Apr 10,2.51,2.51,2.65,2.61,
1998 Apr 13 to Apr 17,2.52,2.42,2.48,2.48,2.40
1998 Apr 20 to Apr 24,2.40,2.46,2.46,2.35,2.31
1998 Apr 27 to May 1,2.29,2.27,2.29,2.18,2.11
1998 May 4 to May 8,2.10,2.19,2.12,2.16,2.11
,,,,,
1998 May 11 to May 15,2.19,2.23,2.24,2.18,2.18
1998 May 18 to May 22,2.19,2.17,2.18,2.11,2.02
1998 May 25 to May 29,,2.10,2.10,2.04,2.10
1998 Jun 1 to Jun 5,2.10,2.20,2.13,2.04,2.01
1998 Jun 8 to Jun 12,2.00,2.01,1.98,1.99,2.01
,,,,,
1998 Jun 15 to Jun 19,2.08,2.10,2.05,2.14,2.20
1998 Jun 22 to Jun 26,2.35,2.35,2.40,2.39,2.40
1998 Jun 29 to Jul 3,2.36,2.39,2.46,2.36,
1998 Jul 6 to Jul 10,2.38,2.35,2.39,2.38,2.32
1998 Jul 13 to Jul 17,2.30,2.23,2.21,2.15,2.15
,,,,,
1998 Jul 20 to Jul 24,2.18,2.09,2.00,2.00,1.97
1998 Jul 27 to Jul 31,2.00,1.97,1.99,1.95,1.85
1998 Aug 3 to Aug 7,1.84,1.90,1.91,1.85,1.82
1998 Aug 10 to Aug 14,1.87,1.87,1.85,1.83,1.83
1998 Aug 17 to Aug 21,1.93,1.94,1.96,1.90,1.93
,,,,,
1998 Aug 24 to Aug 28,1.90,1.89,1.83,1.76,1.66
1998 Aug 31 to Sep 4,1.61,1.84,1.72,1.71,1.71
1998 Sep 7 to Sep 11,,1.81,1.78,1.88,1.86
1998 Sep 14 to Sep 18,1.86,1.94,2.15,2.12,2.27
1998 Sep 21 to Sep 25,2.18,2.29,2.19,2.17,2.38
,,,,,
1998 Sep 28 to Oct 2,2.23,2.06,2.22,2.33,2.14
1998 Oct 5 to Oct 9,2.09,2.01,2.05,2.02,1.80
1998 Oct 12 to Oct 16,1.75,1.70,1.80,1.75,1.64
1998 Oct 19 to Oct 23,1.74,1.95,2.04,1.95,1.84
1998 Oct 26 to Oct 30,1.92,1.85,1.70,2.00,2.00
,,,,,
1998 Nov 2 to Nov 6,1.84,2.10,2.11,2.26,2.25
1998 Nov 9 to Nov 13,2.28,2.30,2.33,2.21,2.21
1998 Nov 16 to Nov 20,2.19,2.12,2.10,2.10,2.07
1998 Nov 23 to Nov 27,2.02,2.08,2.13,,
1998 Nov 30 to Dec 4,1.63,1.41,1.40,1.21,1.05
,,,,,
1998 Dec 7 to Dec 11,1.44,1.79,1.64,1.59,1.55
1998 Dec 14 to Dec 18,1.80,1.86,1.95,2.02,2.02
1998 Dec 21 to Dec 25,2.05,1.96,1.88,1.89,
1998 Dec 28 to Jan 1,1.79,1.82,1.81,1.95,
1999 Jan 4 to Jan 8,2.10,2.05,2.04,1.91,1.90
,,,,,
1999 Jan 11 to Jan 15,1.83,1.82,1.87,1.77,1.78
1999 Jan 18 to Jan 22,,1.77,1.81,1.85,1.82
1999 Jan 25 to Jan 29,1.76,1.73,1.75,1.75,1.83
1999 Feb 1 to Feb 5,1.75,1.78,1.80,1.79,1.81
1999 Feb 8 to Feb 12,1.81,1.82,1.80,1.78,1.82
,,,,,
1999 Feb 15 to Feb 19,,1.79,1.79,1.80,1.79
1999 Feb 22 to Feb 26,1.77,1.75,1.73,1.64,1.63
1999 Mar 1 to Mar 5,1.65,1.67,1.68,1.72,1.74
1999 Mar 8 to Mar 12,1.87,1.86,1.94,1.87,1.81
1999 Mar 15 to Mar 19,1.75,1.75,1.75,1.75,1.73
,,,,,
1999 Mar 22 to Mar 26,1.74,1.80,1.79,1.80,1.83
1999 Mar 29 to Apr 2,1.80,1.89,2.02,1.95,
1999 Apr 5 to Apr 9,2.03,1.98,2.03,2.07,2.10
1999 Apr 12 to Apr 16,2.06,2.14,2.11,2.14,2.14
1999 Apr 19 to Apr 23,2.10,2.18,2.17,2.24,2.23
,,,,,
1999 Apr 26 to Apr 30,2.23,2.32,2.31,2.37,2.25
1999 May 3 to May 7,2.23,2.32,2.36,2.32,2.25
1999 May 10 to May 14,2.25,2.29,2.19,2.21,2.28
1999 May 17 to May 21,2.31,2.30,2.27,2.26,2.21
1999 May 24 to May 28,2.19,2.18,2.22,2.27,2.29
,,,,,
1999 May 31 to Jun 4,,2.34,2.36,2.35,2.31
1999 Jun 7 to Jun 11,2.41,2.38,2.39,2.37,2.30
1999 Jun 14 to Jun 18,2.29,2.28,2.28,2.24,2.24
1999 Jun 21 to Jun 25,2.22,2.23,2.25,2.26,2.27
1999 Jun 28 to Jul 2,2.25,2.33,2.34,2.29,2.26
,,,,,
1999 Jul 5 to Jul 9,,2.29,2.20,2.19,2.17
1999 Jul 12 to Jul 16,2.12,2.14,2.16,2.12,2.18
1999 Jul 19 to Jul 23,2.20,2.24,2.25,2.32,2.42
1999 Jul 26 to Jul 30,2.55,2.55,2.58,2.67,2.55
1999 Aug 2 to Aug 6,2.51,2.61,2.64,2.69,2.69
,,,,,
1999 Aug 9 to Aug 13,2.73,2.77,2.79,2.73,2.71
1999 Aug 16 to Aug 20,2.73,2.70,2.75,2.87,2.97
1999 Aug 23 to Aug 27,2.95,3.01,3.10,2.97,2.87
1999 Aug 30 to Sep 3,2.85,2.84,2.71,2.56,2.47
1999 Sep 6 to Sep 10,,2.56,2.66,2.75,2.84
,,,,,
1999 Sep 13 to Sep 17,2.80,2.66,2.52,2.47,2.45
1999 Sep 20 to Sep 24,2.49,2.33,2.30,2.45,2.54
1999 Sep 27 to Oct 1,2.51,2.52,2.57,2.31,2.39
1999 Oct 4 to Oct 8,2.49,2.45,2.48,2.49,2.35
1999 Oct 11 to Oct 15,2.53,2.65,2.81,2.70,2.66
,,,,,
1999 Oct 18 to Oct 22,2.82,2.89,2.90,2.99,3.00
1999 Oct 25 to Oct 29,2.98,2.96,3.02,2.97,2.76
1999 Nov 1 to Nov 5,2.73,2.81,2.82,2.75,2.62
1999 Nov 8 to Nov 12,2.59,2.44,2.39,2.38,2.16
1999 Nov 15 to Nov 19,2.33,2.23,2.24,2.22,2.16
,,,,,
1999 Nov 22 to Nov 26,2.05,1.99,1.96,,
1999 Nov 29 to Dec 3,2.25,2.22,2.17,2.18,2.16
1999 Dec 6 to Dec 10,2.19,2.16,2.23,2.20,2.27
1999 Dec 13 to Dec 17,2.35,2.49,2.54,2.52,2.55
1999 Dec 20 to Dec 24,2.67,2.59,2.45,2.42,
,,,,,
1999 Dec 27 to Dec 31,2.36,2.32,2.34,2.30,
2000 Jan 3 to Jan 7,,2.16,2.17,2.18,2.19
2000 Jan 10 to Jan 14,2.20,2.23,2.25,2.29,2.28
2000 Jan 17 to Jan 21,,2.35,2.40,2.53,2.55
2000 Jan 24 to Jan 28,2.55,2.66,2.73,2.76,2.84
,,,,,
2000 Jan 31 to Feb 4,2.69,2.81,2.91,2.85,2.78
2000 Feb 7 to Feb 11,2.81,2.60,2.62,2.65,2.65
2000 Feb 14 to Feb 18,2.61,2.61,2.65,2.66,2.65
2000 Feb 21 to Feb 25,,2.55,2.50,2.52,2.51
2000 Feb 28 to Mar 3,2.60,2.65,2.71,2.80,2.72
,,,,,
2000 Mar 6 to Mar 10,2.76,2.78,2.74,2.69,
2000 Mar 13 to Mar 17,2.79,2.83,2.76,2.84,2.81
2000 Mar 20 to Mar 24,2.73,2.74,2.78,2.76,2.82
2000 Mar 27 to Mar 31,2.82,2.94,2.92,2.83,2.88
2000 Apr 3 to Apr 7,2.92,2.87,2.86,2.98,2.99
,,,,,
2000 Apr 10 to Apr 14,2.97,2.98,3.05,3.05,3.11
2000 Apr 17 to Apr 21,3.13,3.12,3.12,3.07,
2000 Apr 24 to Apr 28,3.12,3.18,3.12,3.06,3.09
2000 May 1 to May 5,3.16,3.20,3.18,3.09,3.11
2000 May 8 to May 12,3.12,3.25,3.20,3.37,3.35
,,,,,
2000 May 15 to May 19,3.37,3.45,3.49,3.73,3.76
2000 May 22 to May 26,3.95,3.85,3.94,4.18,4.29
2000 May 29 to Jun 2,,4.35,4.52,4.39,4.21
2000 Jun 5 to Jun 9,4.17,4.48,4.23,3.96,4.14
2000 Jun 12 to Jun 16,4.22,4.27,4.16,4.38,4.45
,,,,,
2000 Jun 19 to Jun 23,4.38,4.02,4.14,4.44,4.42
2000 Jun 26 to Jun 30,4.37,4.55,4.44,4.25,4.36
2000 Jul 3 to Jul 7,4.36,,4.24,4.02,4.00
2000 Jul 10 to Jul 14,4.19,4.17,4.29,4.08,4.17
2000 Jul 17 to Jul 21,4.13,3.99,4.07,3.86,3.88
,,,,,
2000 Jul 24 to Jul 28,3.74,3.63,3.59,3.75,3.89
2000 Jul 31 to Aug 4,3.75,3.78,4.05,4.23,4.25
2000 Aug 7 to Aug 11,4.39,4.46,4.48,4.43,4.44
2000 Aug 14 to Aug 18,4.42,4.24,4.24,4.35,4.38
2000 Aug 21 to Aug 25,4.60,4.80,4.67,4.53,4.55
,,,,,
2000 Aug 28 to Sep 1,4.62,4.60,4.61,4.76,4.70
2000 Sep 4 to Sep 8,,4.81,4.89,4.85,4.74
2000 Sep 11 to Sep 15,4.85,4.96,5.06,5.10,5.28
2000 Sep 18 to Sep 22,5.06,5.22,5.24,5.16,5.16
2000 Sep 25 to Sep 29,5.12,5.28,5.34,5.20,5.10
,,,,,
2000 Oct 2 to Oct 6,5.24,5.29,5.22,5.21,5.04
2000 Oct 9 to Oct 13,5.09,5.16,5.10,5.54,5.43
2000 Oct 16 to Oct 20,5.34,5.27,5.36,5.04,4.84
2000 Oct 23 to Oct 27,4.82,4.84,4.64,4.61,4.48
2000 Oct 30 to Nov 3,4.56,4.37,4.40,4.50,4.64
,,,,,
2000 Nov 6 to Nov 10,4.60,4.68,4.92,5.34,5.24
2000 Nov 13 to Nov 17,5.59,5.81,5.95,5.94,5.62
2000 Nov 20 to Nov 24,6.23,6.35,6.30,,
2000 Nov 27 to Dec 1,6.24,5.90,5.93,6.31,6.53
2000 Dec 4 to Dec 8,7.41,8.03,8.75,8.48,8.13
,,,,,
2000 Dec 11 to Dec 15,9.96,8.58,7.80,7.48,8.03
2000 Dec 18 to Dec 22,9.28,9.11,9.95,10.49,10.48
2000 Dec 25 to Dec 29,,10.23,9.58,9.22,10.48
2001 Jan 1 to Jan 5,,9.97,9.71,9.45,10.03
2001 Jan 8 to Jan 12,10.31,9.95,9.91,8.95,8.75
,,,,,
2001 Jan 15 to Jan 19,,8.16,7.85,7.09,7.61
2001 Jan 22 to Jan 26,7.70,7.02,6.81,6.81,7.00
2001 Jan 29 to Feb 2,6.76,5.96,5.83,5.82,6.76
2001 Feb 5 to Feb 9,6.15,5.59,5.67,6.24,6.24
2001 Feb 12 to Feb 16,5.74,5.58,5.89,5.35,5.57
,,,,,
2001 Feb 19 to Feb 23,,5.17,5.20,5.11,5.05
2001 Feb 26 to Mar 2,5.07,5.07,5.25,5.25,5.06
2001 Mar 5 to Mar 9,5.32,5.27,5.22,5.25,5.13
2001 Mar 12 to Mar 16,4.98,5.08,4.99,5.27,5.27
2001 Mar 19 to Mar 23,5.27,5.27,5.16,5.16,5.16
,,,,,
2001 Mar 26 to Mar 30,5.23,5.47,5.60,5.31,5.35
2001 Apr 2 to Apr 6,5.25,5.25,5.24,5.27,5.33
2001 Apr 9 to Apr 13,5.45,5.55,5.45,5.32,
2001 Apr 16 to Apr 20,5.48,5.36,5.15,5.06,5.00
2001 Apr 23 to Apr 27,5.09,5.13,4.98,4.92,4.83
,,,,,
2001 Apr 30 to May 4,4.73,4.55,4.54,4.46,4.50
2001 May 7 to May 11,4.33,4.22,4.15,4.17,4.25
2001 May 14 to May 18,4.28,4.46,4.46,4.20,4.15
2001 May 21 to May 25,4.14,4.04,4.11,4.12,3.83
2001 May 28 to Jun 1,,3.86,3.66,3.73,3.70
,,,,,
2001 Jun 4 to Jun 8,3.98,3.93,3.76,3.68,3.62
2001 Jun 11 to Jun 15,3.91,4.05,4.13,3.92,3.86
2001 Jun 18 to Jun 22,3.91,3.96,3.83,3.69,3.68
2001 Jun 25 to Jun 29,3.56,3.46,3.39,3.20,2.91
2001 Jul 2 to Jul 6,2.92,3.00,,3.09,2.99
,,,,,
2001 Jul 9 to Jul 13,3.10,3.20,3.21,3.29,3.15
2001 Jul 16 to Jul 20,3.08,3.14,3.15,3.01,2.97
2001 Jul 23 to Jul 27,3.02,3.00,3.06,3.26,3.06
2001 Jul 30 to Aug 3,3.28,3.31,3.27,3.15,3.06
2001 Aug 6 to Aug 10,3.07,3.16,3.11,3.10,2.99
,,,,,
2001 Aug 13 to Aug 17,3.00,3.05,3.15,3.46,3.24
2001 Aug 20 to Aug 24,3.17,3.18,3.20,2.87,2.77
2001 Aug 27 to Aug 31,2.61,2.57,2.46,2.47,2.15
2001 Sep 3 to Sep 7,,2.23,2.34,2.43,2.36
2001 Sep 10 to Sep 14,2.38,2.38,2.44,2.39,2.41
,,,,,
2001 Sep 17 to Sep 21,2.36,2.18,2.13,2.06,2.04
2001 Sep 24 to Sep 28,1.99,1.94,1.88,1.90,1.80
2001 Oct 1 to Oct 5,1.74,1.83,1.97,2.13,2.11
2001 Oct 8 to Oct 12,2.02,2.11,2.22,2.41,2.28
2001 Oct 15 to Oct 19,2.26,2.51,2.61,2.39,2.31
,,,,,
2001 Oct 22 to Oct 26,2.61,2.82,2.67,3.15,3.06
2001 Oct 29 to Nov 2,3.21,3.11,3.07,2.99,2.93
2001 Nov 5 to Nov 9,2.87,2.72,2.73,2.68,2.61
2001 Nov 12 to Nov 16,2.45,2.38,2.29,1.99,1.69
2001 Nov 19 to Nov 23,2.08,2.55,1.91,,
,,,,,
2001 Nov 26 to Nov 30,1.79,1.87,2.30,2.19,1.83
2001 Dec 3 to Dec 7,2.10,2.00,1.89,1.81,2.11
2001 Dec 10 to Dec 14,2.28,2.58,2.57,2.40,2.40
2001 Dec 17 to Dec 21,2.40,2.40,2.40,2.40,2.40
2001 Dec 24 to Dec 28,,,2.40,2.40,2.40
,,,,,
2001 Dec 31 to Jan 4,2.40,,2.55,2.58,2.58
2002 Jan 7 to Jan 11,2.58,2.39,2.31,2.32,2.32
2002 Jan 14 to Jan 18,2.32,2.32,2.38,2.40,2.28
2002 Jan 21 to Jan 25,,2.28,2.28,2.13,2.03
2002 Jan 28 to Feb 1,2.03,2.03,2.28,2.28,2.28
,,,,,
2002 Feb 4 to Feb 8,2.28,2.28,2.14,2.17,2.21
2002 Feb 11 to Feb 15,2.22,2.39,2.37,2.26,2.18
2002 Feb 18 to Feb 22,,2.32,2.41,2.40,2.40
2002 Feb 25 to Mar 1,2.40,2.46,2.49,2.49,2.51
2002 Mar 4 to Mar 8,2.66,2.63,2.52,2.73,2.82
,,,,,
2002 Mar 11 to Mar 15,2.90,2.94,2.97,2.78,2.99
2002 Mar 18 to Mar 22,3.15,3.33,3.29,3.20,3.57
2002 Mar 25 to Mar 29,3.46,3.59,3.35,3.18,
2002 Apr 1 to Apr 5,3.43,3.72,3.68,3.56,3.31
2002 Apr 8 to Apr 12,3.36,3.25,3.25,3.14,3.07
,,,,,
2002 Apr 15 to Apr 19,3.27,3.44,3.40,3.50,3.40
2002 Apr 22 to Apr 26,3.58,3.63,3.53,3.46,3.32
2002 Apr 29 to May 3,3.44,3.65,3.79,3.65,3.71
2002 May 6 to May 10,3.61,3.50,3.74,3.72,3.70
2002 May 13 to May 17,3.62,3.75,3.60,3.45,3.41
,,,,,
2002 May 20 to May 24,3.44,3.33,3.39,3.38,3.21
2002 May 27 to May 31,,3.18,3.30,3.33,3.15
2002 Jun 3 to Jun 7,3.18,3.31,3.29,3.29,3.11
2002 Jun 10 to Jun 14,3.14,3.11,3.15,3.04,3.13
2002 Jun 17 to Jun 21,3.34,3.23,3.24,3.33,3.18
,,,,,
2002 Jun 24 to Jun 28,3.33,3.49,3.92,3.22,3.20
2002 Jul 1 to Jul 5,3.28,3.17,3.08,,
2002 Jul 8 to Jul 12,3.06,2.97,3.04,2.85,2.87
2002 Jul 15 to Jul 19,2.83,2.89,2.97,2.85,2.95
2002 Jul 22 to Jul 26,3.01,2.95,2.91,3.05,2.94
,,,,,
2002 Jul 29 to Aug 2,3.07,2.97,3.02,3.07,2.90
2002 Aug 5 to Aug 9,2.81,2.80,2.73,2.75,2.83
2002 Aug 12 to Aug 16,2.91,3.01,3.03,2.92,3.10
2002 Aug 19 to Aug 23,3.10,3.25,3.22,3.36,3.48
2002 Aug 26 to Aug 30,3.51,3.47,3.31,3.25,3.12
,,,,,
2002 Sep 2 to Sep 6,,3.10,3.13,3.20,3.39
2002 Sep 9 to Sep 13,3.24,3.35,3.33,3.22,3.37
2002 Sep 16 to Sep 20,3.45,3.46,3.80,3.90,3.95
2002 Sep 23 to Sep 27,3.87,4.00,3.76,3.61,3.76
2002 Sep 30 to Oct 4,4.09,4.41,4.27,4.23,3.86
,,,,,
2002 Oct 7 to Oct 11,3.77,3.86,3.91,3.93,3.80
2002 Oct 14 to Oct 18,4.19,4.19,4.10,4.10,4.11
2002 Oct 21 to Oct 25,4.23,4.20,4.24,4.30,4.12
2002 Oct 28 to Nov 1,4.16,4.20,4.34,4.39,4.07
2002 Nov 4 to Nov 8,3.94,3.90,3.92,3.90,3.76
,,,,,
2002 Nov 11 to Nov 15,3.83,3.83,3.83,3.90,3.92
2002 Nov 18 to Nov 22,4.18,4.25,4.27,4.24,4.32
2002 Nov 25 to Nov 29,4.34,4.23,4.19,,
2002 Dec 2 to Dec 6,4.23,4.35,4.24,4.35,4.39
2002 Dec 9 to Dec 13,4.32,4.40,4.63,4.81,5.05
,,,,,
2002 Dec 16 to Dec 20,5.31,5.13,4.98,5.14,5.05
2002 Dec 23 to Dec 27,5.03,5.03,,4.98,4.81
2002 Dec 30 to Jan 3,4.74,4.59,,4.93,5.13
2003 Jan 6 to Jan 10,4.94,4.89,5.07,5.05,5.19
2003 Jan 13 to Jan 17,5.23,5.25,5.21,5.50,5.66
,,,,,
2003 Jan 20 to Jan 24,,5.47,5.72,6.55,5.91
2003 Jan 27 to Jan 31,5.91,5.52,5.61,5.76,5.58
2003 Feb 3 to Feb 7,5.71,6.26,6.22,6.08,6.30
2003 Feb 10 to Feb 14,6.35,6.19,6.19,5.81,5.88
2003 Feb 17 to Feb 21,,6.09,6.10,6.38,6.73
,,,,,
2003 Feb 24 to Feb 28,11.98,18.48,10.47,8.42,10.81
2003 Mar 3 to Mar 7,8.51,7.71,7.80,7.57,7.42
2003 Mar 10 to Mar 14,6.78,6.25,5.80,5.71,5.17
2003 Mar 17 to Mar 21,5.32,5.13,5.20,5.20,5.05
2003 Mar 24 to Mar 28,5.07,5.07,4.90,4.87,5.06
,,,,,
2003 Mar 31 to Apr 4,5.01,4.90,4.89,4.91,4.86
2003 Apr 7 to Apr 11,4.98,5.21,5.11,5.18,5.28
2003 Apr 14 to Apr 18,5.29,5.53,5.62,5.54,
2003 Apr 21 to Apr 25,5.55,5.58,5.58,5.46,5.39
2003 Apr 28 to May 2,5.30,5.12,5.25,5.32,5.24
,,,,,
2003 May 5 to May 9,5.36,5.64,5.49,5.65,5.73
2003 May 12 to May 16,5.91,5.98,6.17,6.24,5.96
2003 May 19 to May 23,6.08,5.93,6.08,6.09,5.92
2003 May 26 to May 30,,5.84,5.71,5.76,5.99
2003 Jun 2 to Jun 6,6.22,6.25,6.40,6.17,6.25
,,,,,
2003 Jun 9 to Jun 13,6.25,6.08,6.06,5.86,5.44
2003 Jun 16 to Jun 20,5.45,5.66,5.53,5.53,5.68
2003 Jun 23 to Jun 27,5.89,5.84,5.64,5.49,5.19
2003 Jun 30 to Jul 4,5.31,5.22,5.05,4.96,
2003 Jul 7 to Jul 11,5.20,5.40,5.56,5.40,5.22
,,,,,
2003 Jul 14 to Jul 18,5.15,5.17,5.00,4.96,5.01
2003 Jul 21 to Jul 25,5.11,5.04,4.88,4.86,4.68
2003 Jul 28 to Aug 1,4.68,4.72,4.68,4.63,4.71
2003 Aug 4 to Aug 8,4.81,4.71,4.74,4.85,5.02
2003 Aug 11 to Aug 15,5.08,5.06,5.17,5.10,4.83
,,,,,
2003 Aug 18 to Aug 22,4.94,4.99,5.03,5.14,5.24
2003 Aug 25 to Aug 29,5.26,5.09,5.11,4.94,4.86
2003 Sep 1 to Sep 5,,4.62,4.68,4.70,4.76
2003 Sep 8 to Sep 12,4.82,4.70,4.78,4.85,4.66
2003 Sep 15 to Sep 19,4.66,4.67,4.61,4.52,4.33
,,,,,
2003 Sep 22 to Sep 26,4.38,4.51,4.58,4.55,4.42
2003 Sep 29 to Oct 3,4.57,4.66,4.47,4.42,4.34
2003 Oct 6 to Oct 10,4.40,4.66,4.84,4.78,4.92
2003 Oct 13 to Oct 17,4.96,4.84,4.93,4.92,4.53
2003 Oct 20 to Oct 24,4.30,4.64,4.89,4.90,4.78
,,,,,
2003 Oct 27 to Oct 31,4.56,4.45,4.51,4.40,3.98
2003 Nov 3 to Nov 7,4.12,4.01,4.46,4.74,4.48
2003 Nov 10 to Nov 14,4.42,4.52,4.77,4.60,4.62
2003 Nov 17 to Nov 21,4.49,4.35,4.46,4.35,4.15
2003 Nov 24 to Nov 28,4.57,4.49,4.86,,
,,,,,
2003 Dec 1 to Dec 5,5.02,5.45,5.45,5.70,6.27
2003 Dec 8 to Dec 12,6.06,6.52,6.67,6.56,6.73
2003 Dec 15 to Dec 19,6.63,6.58,6.56,6.98,6.92
2003 Dec 22 to Dec 26,6.32,5.58,5.50,,
2003 Dec 29 to Jan 2,5.46,5.96,5.76,,
,,,,,
2004 Jan 5 to Jan 9,6.28,7.04,6.61,6.41,6.91
2004 Jan 12 to Jan 16,6.29,6.26,5.73,6.02,5.43
2004 Jan 19 to Jan 23,,6.15,6.26,6.03,5.82
2004 Jan 26 to Jan 30,5.70,5.87,6.04,5.99,5.80
2004 Feb 2 to Feb 6,5.51,5.69,5.74,5.54,5.38
,,,,,
2004 Feb 9 to Feb 13,5.44,5.49,5.34,5.35,5.62
2004 Feb 16 to Feb 20,,5.43,5.33,5.28,5.19
2004 Feb 23 to Feb 27,5.10,5.08,5.10,5.13,5.27
2004 Mar 1 to Mar 5,5.17,5.37,5.34,5.17,5.32
2004 Mar 8 to Mar 12,5.42,5.34,5.33,5.33,5.52
,,,,,
2004 Mar 15 to Mar 19,5.59,5.60,5.61,5.63,5.49
2004 Mar 22 to Mar 26,5.46,5.36,5.35,5.22,5.16
2004 Mar 29 to Apr 2,5.25,5.40,5.63,5.82,5.69
2004 Apr 5 to Apr 9,5.81,5.70,5.76,5.84,
2004 Apr 12 to Apr 16,5.85,5.92,5.73,5.68,5.62
,,,,,
2004 Apr 19 to Apr 23,5.57,5.46,5.52,5.59,5.53
2004 Apr 26 to Apr 30,5.60,5.81,5.80,5.78,5.81
2004 May 3 to May 7,5.80,6.21,6.09,6.22,6.18
2004 May 10 to May 14,6.14,6.24,6.41,6.42,6.43
2004 May 17 to May 21,6.41,6.28,6.18,6.44,6.35
,,,,,
